category,title,local,date,link
Gastronomia,CURSO DE HAMBÚRGUER ARTESANAL,"CEASA Centrais de Abastecimento de Minas Gerais - Contagem, MG","Segunda, 27 de Jan às 08:00",https://www.sympla.com.br/evento/curso-de-hamburguer-artesanal/2779327
Gastronomia,CRISTIANO QUEVEDO NO SANTO ASSADO - SANTA BODEGA CACHOEIRINHA,"Santa Bodega - Cachoeirinha, RS","Sexta, 31 de Jan às 19:00",https://www.sympla.com.br/evento/cristiano-quevedo-no-santo-assado-santa-bodega-cachoeirinha/2780401
Gastronomia,Jantar Cego                                  ,"Espaço Dive - São Paulo, SP","Sexta, 14 de Fev às 21:00",https://www.sympla.com.br/evento/jantar-cego/2790116
Gastronomia,Hamburgada do Bem - Sorocaba - 466,"Sorocaba - Sorocaba, SP","Sábado, 22 de Fev às 08:30",https://www.sympla.com.br/evento/hamburgada-do-bem-sorocaba-466/2799499
Gastronomia,UM PASSEIO PELA ITÁLIA,"Zona Sul Gilka Machado - Rio de Janeiro, RJ","Quarta, 29 de Jan às 19:00",https://www.sympla.com.br/evento/um-passeio-pela-italia/2792048
Gastronomia,Curso de Férias - Risotos,"UniArnaldo - Centro Universitário Arnaldo Janssen  - Belo Horizonte, MG","Segunda, 27 de Jan às 18:00",https://www.sympla.com.br/evento/curso-de-ferias-risotos/2787622
Gastronomia,DEGUSTAÇÃO GUIADA MADRE TERRA,"La Cave Gastronomia e Vinhos - Florianópolis, SC","Quarta, 05 de Fev às 19:45",https://www.sympla.com.br/evento/degustacao-guiada-madre-terra/2808989
Gastronomia,UM PASSEIO PELA ITÁLIA,"Av. Atlântica, 866 - Rio de Janeiro, RJ","Sexta, 07 de Fev às 19:00",https://www.sympla.com.br/evento/um-passeio-pela-italia/2799419
Gastronomia,Curso Iniciante de Produção de Cerveja Caseira/TURMA 5,"Cervejaria Garimpero - Campinas, SP","Domingo, 09 de Fev às 09:00",https://www.sympla.com.br/evento/curso-iniciante-de-producao-de-cerveja-caseira-turma-5/2789997
Gastronomia,GASTRONOMIA E CERVEJA (Ipanema),"Zona Sul Ipanema - Rio de Janeiro, RJ","Quarta, 29 de Jan às 19:00",https://www.sympla.com.br/evento/gastronomia-e-cerveja-ipanema/2779371
Gastronomia,TOUR LIVRE,"Cervejaria Bohemia - Petrópolis, RJ",02 de Jan a 09 de Fev,https://bileto.sympla.com.br/event/101934
Gastronomia,Encontro de Vinhos Rio de Janeiro - Março,"Salão Nobre do Clube Fluminense - Rio de Janeiro, RJ","Sábado, 22 de Mar às 12:00",https://www.sympla.com.br/evento/encontro-de-vinhos-rio-de-janeiro-marco/2786814
Gastronomia,"Curso Presencial em SÃO CAETANO DO SUL - Bolos Decorativos, Pastas Deliciosas e Doces Personalizados","Hotel Acácia - São Caetano do Sul, SP","Sábado, 08 de Fev às 08:30",https://www.sympla.com.br/evento/curso-presencial-em-sao-caetano-do-sul-bolos-decorativos-pastas-deliciosas-e-doces-personalizados/2796713
Gastronomia,Desvendando o vinho,"Grand Cru Copacabana - Rio de Janeiro, RJ","Terça, 28 de Jan às 20:00",https://www.sympla.com.br/evento/desvendando-o-vinho/2796545
Gastronomia,Vinho & Escrita: Vinho de uma noite de Verão,"Les Vignobles de Demain - São Paulo, SP","Quarta, 29 de Jan às 19:00",https://www.sympla.com.br/evento/vinho-escrita-vinho-de-uma-noite-de-verao/2797252
Gastronomia,Workshop com Degustação de Pizza Napoletana - 06/02/2025,"R. Antônio Augusto, 1576 - Fortaleza, CE","Quinta, 06 de Fev às 18:45",https://www.sympla.com.br/evento/workshop-com-degustacao-de-pizza-napoletana-06-02-2025/2729435
Gastronomia,AULA POCKET-  Salmão com risotto de limão siciliano e fudge de chocolate branco com amendoas e pista,"Av. Atlântica, 866 - Rio de Janeiro, RJ","Quinta, 30 de Jan às 18:00",https://www.sympla.com.br/evento/aula-pocket-salmao-com-risotto-de-limao-siciliano-e-fudge-de-chocolate-branco-com-amendoas-e-pista/2776128
Gastronomia,Curso de Férias - Pizza de longa fermentação,"UniArnaldo - Centro Universitário Arnaldo Janssen  - Belo Horizonte, MG","Quarta, 29 de Jan às 18:00",https://www.sympla.com.br/evento/curso-de-ferias-pizza-de-longa-fermentacao/2787679
Gastronomia,2º Curso Mestre Churrasqueiro com Carlos Salviano,"MULTICENTER - Pará de Minas, MG","Sábado, 15 de Fev às 14:00",https://www.sympla.com.br/evento/2o-curso-mestre-churrasqueiro-com-carlos-salviano/2786223
Gastronomia,Uma Jornada com Sabores do Mediterrâneo com Degustação de Azeites,"Zona Sul Supermercado Ipanema - Rio de Janeiro, RJ","Quarta, 12 de Fev às 19:00",https://www.sympla.com.br/evento/uma-jornada-com-sabores-do-mediterraneo-com-degustacao-de-azeites/2799391
Gastronomia,Vamos Fazer Vermut? São Paulo!,"R. Fidalga, 120 - São Paulo, SP","Segunda, 17 de Fev às 09:00",https://www.sympla.com.br/evento/vamos-fazer-vermut-sao-paulo/2794794
Gastronomia,"SABORES DE VERÃO - Vinagrete de frutos do mar, Pasta al Nero e Torta de Pitaya","Supermercado Zona Sul - Santa Mônica - Rio de Janeiro, RJ","Sexta, 31 de Jan às 19:00",https://www.sympla.com.br/evento/sabores-de-verao-vinagrete-de-frutos-do-mar-pasta-al-nero-e-torta-de-pitaya/2779380
Gastronomia,Curso de Férias - Burguer,"UniArnaldo - Centro Universitário Arnaldo Janssen  - Belo Horizonte, MG","Quinta, 30 de Jan às 18:00",https://www.sympla.com.br/evento/curso-de-ferias-burguer/2787794
Gastronomia,COLÔNIA DE FÉRIAS NO VILA COM BAÚ DA ALEGRIA,"Vila di Praia - Atibaia, SP",13 de Jan a 31 de Jan,https://www.sympla.com.br/evento/colonia-de-ferias-no-vila-com-bau-da-alegria/2774492
Gastronomia,GASTRONOMIA E CERVEJA (Barra),"Supermercado Zona Sul - Santa Mônica - Rio de Janeiro, RJ","Quinta, 30 de Jan às 19:00",https://www.sympla.com.br/evento/gastronomia-e-cerveja-barra/2779373
Gastronomia,CURSO DE TÉCNICAS PARA PRODUÇÃO DE PÃO DE SAL,"CEASA Centrais de Abastecimento de Minas Gerais - Contagem, MG",29 de Jan a 30 de Jan,https://www.sympla.com.br/evento/curso-de-tecnicas-para-producao-de-pao-de-sal/2780835
Gastronomia,CURSO MESTRE CHURRASQUEIRO,"Gourmeria Culinária - Belo Horizonte, MG","Sábado, 01 de Fev às 09:00",https://www.sympla.com.br/evento/curso-mestre-churrasqueiro/2784378
Gastronomia,Workshop: Aprenda a preparar cafés especiais em casa,"Dona Lua Café Pub - Vitória da Conquista, BA","Quarta, 05 de Fev às 19:00",https://www.sympla.com.br/evento/workshop-aprenda-a-preparar-cafes-especiais-em-casa/2788312
